#スキル系統,発動スキル,必要ポイント,カテゴリ,効果,系統番号,仮番号,コスト,基本説明,効果検索用テキスト
幸運,幸運Lv3,3,クエスト,クエストクリアでもらえる報酬の数が多くなりやすい。得られる確率がさらに上がる,74,740,12,クエストクリア時の報酬数が増えやすくなる。,幸運 幸運Lv3 クエストクリア時の報酬数が増えやすくなる。 クエストクリアでもらえる報酬の数が多くなりやすい。得られる確率がさらに上がる
体力回復量ＵＰ,体力回復量ＵＰLv1,1,アイテム,回復量がわずかに増加する,56,560,3,体力回復時の回復量を増やす。,体力回復量ＵＰ 体力回復量ＵＰLv1 体力回復時の回復量を増やす。 回復量がわずかに増加する
体力回復量ＵＰ,体力回復量ＵＰLv2,2,アイテム,回復量が増加する,56,560,3,体力回復時の回復量を増やす。,体力回復量ＵＰ 体力回復量ＵＰLv2 体力回復時の回復量を増やす。 回復量が増加する
体力回復量ＵＰ,体力回復量ＵＰLv3,3,アイテム,回復量がかなり増加する,56,560,3,体力回復時の回復量を増やす。,体力回復量ＵＰ 体力回復量ＵＰLv3 体力回復時の回復量を増やす。 回復量がかなり増加する
早食い,早食いLv1,1,アイテム,肉やアイテムを食べる速度がわずかに上昇する,58,580,6,肉やアイテムを食べる速度を高める。,早食い 早食いLv1 肉やアイテムを食べる速度を高める。 肉やアイテムを食べる速度がわずかに上昇する
早食い,早食いLv2,2,アイテム,肉やアイテムを食べる速度が上昇する,58,580,6,肉やアイテムを食べる速度を高める。,早食い 早食いLv2 肉やアイテムを食べる速度を高める。 肉やアイテムを食べる速度が上昇する
早食い,早食いLv3,3,アイテム,肉やアイテムを食べる速度がかなり上昇する,58,580,6,肉やアイテムを食べる速度を高める。,早食い 早食いLv3 肉やアイテムを食べる速度を高める。 肉やアイテムを食べる速度がかなり上昇する
キノコ大好き,キノコ大好きLv1,1,アイテム,アオキノコと毒テングダケがたべられるようになる,77,770,9,通常は食べられないキノコを食べられるようにし、種類に応じた効果を得る。,キノコ大好き キノコ大好きLv1 通常は食べられないキノコを食べられるようにし、種類に応じた効果を得る。 アオキノコと毒テングダケがたべられるようになる
キノコ大好き,キノコ大好きLv2,2,アイテム,さらにニトロダケとマヒダケを食べられるようになる,77,770,9,通常は食べられないキノコを食べられるようにし、種類に応じた効果を得る。,キノコ大好き キノコ大好きLv2 通常は食べられないキノコを食べられるようにし、種類に応じた効果を得る。 さらにニトロダケとマヒダケを食べられるようになる
キノコ大好き,キノコ大好きLv3,3,アイテム,さらにマンドラゴラとドキドキノコが食べられるようになる,77,770,9,通常は食べられないキノコを食べられるようにし、種類に応じた効果を得る。,キノコ大好き キノコ大好きLv3 通常は食べられないキノコを食べられるようにし、種類に応じた効果を得る。 さらにマンドラゴラとドキドキノコが食べられるようになる
アイテム使用強化,アイテム使用強化Lv1,1,アイテム,一部アイテムの効果時間が1.1倍,78,780,3,一部のアイテムの効果時間を延長する。,アイテム使用強化 アイテム使用強化Lv1 一部のアイテムの効果時間を延長する。 一部アイテムの効果時間が1.1倍
アイテム使用強化,アイテム使用強化Lv2,2,アイテム,一部アイテムの効果時間が1.25倍,78,780,3,一部のアイテムの効果時間を延長する。,アイテム使用強化 アイテム使用強化Lv2 一部のアイテムの効果時間を延長する。 一部アイテムの効果時間が1.25倍
アイテム使用強化,アイテム使用強化Lv3,3,アイテム,一部アイテムの効果時間が1.5倍,78,780,3,一部のアイテムの効果時間を延長する。,アイテム使用強化 アイテム使用強化Lv3 一部のアイテムの効果時間を延長する。 一部アイテムの効果時間が1.5倍
広域化,広域化Lv1,1,アイテム,一部アイテムを使用した時、効果の1/3を周囲の仲間にも与える,79,790,3,一部アイテムの効果を一定範囲の仲間にも適用し、レベルに応じて範囲や対象効果を広げる。,広域化 広域化Lv1 一部アイテムの効果を一定範囲の仲間にも適用し、レベルに応じて範囲や対象効果を広げる。 一部アイテムを使用した時、効果の1/3を周囲の仲間にも与える
広域化,広域化Lv2,2,アイテム,一部アイテムを使用した時、効果の1/3を広い範囲の仲間にも与える,79,790,3,一部アイテムの効果を一定範囲の仲間にも適用し、レベルに応じて範囲や対象効果を広げる。,広域化 広域化Lv2 一部アイテムの効果を一定範囲の仲間にも適用し、レベルに応じて範囲や対象効果を広げる。 一部アイテムを使用した時、効果の1/3を広い範囲の仲間にも与える
広域化,広域化Lv3,3,アイテム,一部アイテムを使用した時、効果の2/3を広い範囲の仲間にも与える,79,790,3,一部アイテムの効果を一定範囲の仲間にも適用し、レベルに応じて範囲や対象効果を広げる。,広域化 広域化Lv3 一部アイテムの効果を一定範囲の仲間にも適用し、レベルに応じて範囲や対象効果を広げる。 一部アイテムを使用した時、効果の2/3を広い範囲の仲間にも与える
広域化,広域化Lv4,4,アイテム,一部アイテムを使用した時、効果の2/3をかなり広い範囲の仲間にも与える,79,790,3,一部アイテムの効果を一定範囲の仲間にも適用し、レベルに応じて範囲や対象効果を広げる。,広域化 広域化Lv4 一部アイテムの効果を一定範囲の仲間にも適用し、レベルに応じて範囲や対象効果を広げる。 一部アイテムを使用した時、効果の2/3をかなり広い範囲の仲間にも与える
広域化,広域化Lv5,5,アイテム,一部アイテムを使用した時、そのままの効果をかなり広い範囲の仲間にも与える,79,790,3,一部アイテムの効果を一定範囲の仲間にも適用し、レベルに応じて範囲や対象効果を広げる。,広域化 広域化Lv5 一部アイテムの効果を一定範囲の仲間にも適用し、レベルに応じて範囲や対象効果を広げる。 一部アイテムを使用した時、そのままの効果をかなり広い範囲の仲間にも与える
満足感,満足感Lv1,1,アイテム,10%の確率で食べたり飲んだりするアイテムがもう1度使える,80,800,3,食べたり飲んだりするアイテムを一定確率でもう一度使用できる。,満足感 満足感Lv1 食べたり飲んだりするアイテムを一定確率でもう一度使用できる。 10%の確率で食べたり飲んだりするアイテムがもう1度使える
満足感,満足感Lv2,2,アイテム,25%の確率で食べたり飲んだりするアイテムがもう1度使える,80,800,3,食べたり飲んだりするアイテムを一定確率でもう一度使用できる。,満足感 満足感Lv2 食べたり飲んだりするアイテムを一定確率でもう一度使用できる。 25%の確率で食べたり飲んだりするアイテムがもう1度使える
満足感,満足感Lv3,3,アイテム,45%の確率で食べたり飲んだりするアイテムがもう1度使える,80,800,3,食べたり飲んだりするアイテムを一定確率でもう一度使用できる。,満足感 満足感Lv3 食べたり飲んだりするアイテムを一定確率でもう一度使用できる。 45%の確率で食べたり飲んだりするアイテムがもう1度使える
砥石使用高速化,砥石使用高速化Lv1,1,アイテム,研ぎ動作を1回省略,75,750,3,砥石の使用時間を短縮する。,砥石使用高速化 砥石使用高速化Lv1 砥石の使用時間を短縮する。 研ぎ動作を1回省略
砥石使用高速化,砥石使用高速化Lv2,2,アイテム,研ぎ動作を2回省略,75,750,3,砥石の使用時間を短縮する。,砥石使用高速化 砥石使用高速化Lv2 砥石の使用時間を短縮する。 研ぎ動作を2回省略
砥石使用高速化,砥石使用高速化Lv3,3,アイテム,研ぎ動作を3回省略,75,750,3,砥石の使用時間を短縮する。,砥石使用高速化 砥石使用高速化Lv3 砥石の使用時間を短縮する。 研ぎ動作を3回省略
ボマー,ボマーLv1,1,アイテム,爆発系アイテムのダメージが1.1倍,76,760,,爆弾系アイテムのダメージを高める。,ボマー ボマーLv1 爆弾系アイテムのダメージを高める。 爆発系アイテムのダメージが1.1倍
ボマー,ボマーLv2,2,アイテム,爆発系アイテムのダメージが1.2倍,76,760,,爆弾系アイテムのダメージを高める。,ボマー ボマーLv2 爆弾系アイテムのダメージを高める。 爆発系アイテムのダメージが1.2倍
ボマー,ボマーLv3,3,アイテム,爆発系アイテムのダメージが1.3倍,76,760,,爆弾系アイテムのダメージを高める。,ボマー ボマーLv3 爆弾系アイテムのダメージを高める。 爆発系アイテムのダメージが1.3倍
ひるみ軽減,ひるみ軽減Lv1,1,戦闘(生存),のけぞり無効。,83,830,3,小ダメージ時のひるみを軽減する。,ひるみ軽減 ひるみ軽減Lv1 小ダメージ時のひるみを軽減する。 のけぞり無効。
ひるみ軽減,ひるみ軽減Lv2,2,戦闘(生存),のけぞり無効、しりもちをのけぞりに軽減。,83,830,3,小ダメージ時のひるみを軽減する。,ひるみ軽減 ひるみ軽減Lv2 小ダメージ時のひるみを軽減する。 のけぞり無効、しりもちをのけぞりに軽減。
ひるみ軽減,ひるみ軽減Lv3,3,戦闘(生存),しりもちを無効。,83,830,3,小ダメージ時のひるみを軽減する。,ひるみ軽減 ひるみ軽減Lv3 小ダメージ時のひるみを軽減する。 しりもちを無効。
ジャンプ鉄人,ジャンプ鉄人Lv1,1,クエスト,ジャンプ中にのけぞり無効,84,840,,ジャンプ中に攻撃を受けてもひるまなくする。,ジャンプ鉄人 ジャンプ鉄人Lv1 ジャンプ中に攻撃を受けてもひるまなくする。 ジャンプ中にのけぞり無効
剥ぎ取り鉄人,剥ぎ取り鉄人Lv1,1,クエスト,剥ぎ取り中、のけぞり無効,96,960,,剥ぎ取り中に攻撃を受けても吹き飛ばなくする。,剥ぎ取り鉄人 剥ぎ取り鉄人Lv1 剥ぎ取り中に攻撃を受けても吹き飛ばなくする。 剥ぎ取り中、のけぞり無効
剥ぎ取り名人,剥ぎ取り名人Lv1,1,クエスト,剥ぎ取り回数が１回増える。（クエストの途中からは、効果が得られません）,140,1040,,剥ぎ取り回数を1回増やす。,剥ぎ取り名人 剥ぎ取り名人Lv1 剥ぎ取り回数を1回増やす。 剥ぎ取り回数が１回増える。（クエストの途中からは、効果が得られません）
腹減り耐性,腹減り耐性Lv1,1,クエスト,スタミナ最大値の時間減少を50%延長,85,850,3,時間経過によるスタミナ最大値の減少を抑える。,腹減り耐性 腹減り耐性Lv1 時間経過によるスタミナ最大値の減少を抑える。 スタミナ最大値の時間減少を50%延長
腹減り耐性,腹減り耐性Lv2,2,クエスト,スタミナ最大値の時間減少を100%延長,85,850,3,時間経過によるスタミナ最大値の減少を抑える。,腹減り耐性 腹減り耐性Lv2 時間経過によるスタミナ最大値の減少を抑える。 スタミナ最大値の時間減少を100%延長
腹減り耐性,腹減り耐性Lv3,3,クエスト,スタミナ最大値の減少を無効化,85,850,3,時間経過によるスタミナ最大値の減少を抑える。,腹減り耐性 腹減り耐性Lv3 時間経過によるスタミナ最大値の減少を抑える。 スタミナ最大値の減少を無効化
飛び込み,飛び込みLv1,1,クエスト,大型モンスターに向かってジャンプ回避ができるようになる。また、飛距離も伸びる,86,860,3,大型モンスターへ向けたジャンプ回避を可能にし、飛距離も延ばす。,飛び込み 飛び込みLv1 大型モンスターへ向けたジャンプ回避を可能にし、飛距離も延ばす。 大型モンスターに向かってジャンプ回避ができるようになる。また、飛距離も伸びる
陽動,陽動Lv1,1,クエスト,攻撃を当てたとき、モンスターの注意をより強く引くようになる,87,870,3,攻撃時にモンスターの注意を引きやすくする。,陽動 陽動Lv1 攻撃時にモンスターの注意を引きやすくする。 攻撃を当てたとき、モンスターの注意をより強く引くようになる
乗り名人,乗り名人Lv1,1,クエスト,操竜ゲージが溜まりやすくなり回避カウンターが取りやすくなる,88,880,3,操竜をしやすくする。,乗り名人 乗り名人Lv1 操竜をしやすくする。 操竜ゲージが溜まりやすくなり回避カウンターが取りやすくなる
鋼殻の恩恵,鋼殻の恩恵Lv1,1,シリーズスキル,水と氷の属性攻撃値を１．０５倍にする,110,1010,6,クシャルダオラの力を得て、レベルに応じた特殊な恩恵を受ける。,鋼殻の恩恵 鋼殻の恩恵Lv1 クシャルダオラの力を得て、レベルに応じた特殊な恩恵を受ける。 水と氷の属性攻撃値を１．０５倍にする
鋼殻の恩恵,鋼殻の恩恵Lv2,2,シリーズスキル,水と氷の属性攻撃値を１．１倍にする,110,1010,6,クシャルダオラの力を得て、レベルに応じた特殊な恩恵を受ける。,鋼殻の恩恵 鋼殻の恩恵Lv2 クシャルダオラの力を得て、レベルに応じた特殊な恩恵を受ける。 水と氷の属性攻撃値を１．１倍にする
鋼殻の恩恵,鋼殻の恩恵Lv3,3,シリーズスキル,更に体力の自動回復が、ゲージの最大値まで継続する,110,1010,6,クシャルダオラの力を得て、レベルに応じた特殊な恩恵を受ける。,鋼殻の恩恵 鋼殻の恩恵Lv3 クシャルダオラの力を得て、レベルに応じた特殊な恩恵を受ける。 更に体力の自動回復が、ゲージの最大値まで継続する
鋼殻の恩恵,鋼殻の恩恵Lv4,4,シリーズスキル,更に熱によるダメージを無効化する,110,1010,6,クシャルダオラの力を得て、レベルに応じた特殊な恩恵を受ける。,鋼殻の恩恵 鋼殻の恩恵Lv4 クシャルダオラの力を得て、レベルに応じた特殊な恩恵を受ける。 更に熱によるダメージを無効化する
霞皮の恩恵,霞皮の恩恵Lv1,1,シリーズスキル,ヒトダマドリの効果を稀に増やす,120,1020,6,オオナズチの力を得て、レベルに応じた特殊な恩恵を受ける。,霞皮の恩恵 霞皮の恩恵Lv1 オオナズチの力を得て、レベルに応じた特殊な恩恵を受ける。 ヒトダマドリの効果を稀に増やす
霞皮の恩恵,霞皮の恩恵Lv2,2,シリーズスキル,更に風圧【小】【大】を無効化する,120,1020,6,オオナズチの力を得て、レベルに応じた特殊な恩恵を受ける。,霞皮の恩恵 霞皮の恩恵Lv2 オオナズチの力を得て、レベルに応じた特殊な恩恵を受ける。 更に風圧【小】【大】を無効化する
霞皮の恩恵,霞皮の恩恵Lv3,3,シリーズスキル,更にモンスターに与える毒の効果時間を高める,120,1020,6,オオナズチの力を得て、レベルに応じた特殊な恩恵を受ける。,霞皮の恩恵 霞皮の恩恵Lv3 オオナズチの力を得て、レベルに応じた特殊な恩恵を受ける。 更にモンスターに与える毒の効果時間を高める
霞皮の恩恵,霞皮の恩恵Lv4,4,シリーズスキル,更に全ての風圧を無効化する,120,1020,6,オオナズチの力を得て、レベルに応じた特殊な恩恵を受ける。,霞皮の恩恵 霞皮の恩恵Lv4 オオナズチの力を得て、レベルに応じた特殊な恩恵を受ける。 更に全ての風圧を無効化する
炎鱗の恩恵,炎鱗の恩恵Lv1,1,シリーズスキル,火の属性攻撃値と爆破の蓄積値を１．０５倍にする,130,1030,6,テオ・テスカトルの力を得て、レベルに応じた特殊な恩恵を受ける。,炎鱗の恩恵 炎鱗の恩恵Lv1 テオ・テスカトルの力を得て、レベルに応じた特殊な恩恵を受ける。 火の属性攻撃値と爆破の蓄積値を１．０５倍にする
炎鱗の恩恵,炎鱗の恩恵Lv2,2,シリーズスキル,火の属性攻撃値と爆破の蓄積値を１．１倍にする,130,1030,6,テオ・テスカトルの力を得て、レベルに応じた特殊な恩恵を受ける。,炎鱗の恩恵 炎鱗の恩恵Lv2 テオ・テスカトルの力を得て、レベルに応じた特殊な恩恵を受ける。 火の属性攻撃値と爆破の蓄積値を１．１倍にする
炎鱗の恩恵,炎鱗の恩恵Lv3,3,シリーズスキル,更に毒と猛毒状態にならない,130,1030,6,テオ・テスカトルの力を得て、レベルに応じた特殊な恩恵を受ける。,炎鱗の恩恵 炎鱗の恩恵Lv3 テオ・テスカトルの力を得て、レベルに応じた特殊な恩恵を受ける。 更に毒と猛毒状態にならない
炎鱗の恩恵,炎鱗の恩恵Lv4,4,シリーズスキル,更に盗みを無効化する,130,1030,6,テオ・テスカトルの力を得て、レベルに応じた特殊な恩恵を受ける。,炎鱗の恩恵 炎鱗の恩恵Lv4 テオ・テスカトルの力を得て、レベルに応じた特殊な恩恵を受ける。 更に盗みを無効化する
風紋の一致,風紋の一致Lv1,1,シリーズスキル,龍耐性+1,94,940,,イブシマキヒコの力を得て、レベルに応じた特殊な恩恵を受ける。,風紋の一致 風紋の一致Lv1 イブシマキヒコの力を得て、レベルに応じた特殊な恩恵を受ける。 龍耐性+1
風紋の一致,風紋の一致Lv2,2,シリーズスキル,龍耐性+2,94,940,,イブシマキヒコの力を得て、レベルに応じた特殊な恩恵を受ける。,風紋の一致 風紋の一致Lv2 イブシマキヒコの力を得て、レベルに応じた特殊な恩恵を受ける。 龍耐性+2
風紋の一致,風紋の一致Lv3,3,シリーズスキル,龍耐性+3,94,940,,イブシマキヒコの力を得て、レベルに応じた特殊な恩恵を受ける。,風紋の一致 風紋の一致Lv3 イブシマキヒコの力を得て、レベルに応じた特殊な恩恵を受ける。 龍耐性+3
風紋の一致,風紋の一致Lv4,4,シリーズスキル,龍耐性+4,94,940,,イブシマキヒコの力を得て、レベルに応じた特殊な恩恵を受ける。,風紋の一致 風紋の一致Lv4 イブシマキヒコの力を得て、レベルに応じた特殊な恩恵を受ける。 龍耐性+4
風紋の一致,風紋の一致Lv5,5,シリーズスキル,さらに強運の効果を得る,94,940,,イブシマキヒコの力を得て、レベルに応じた特殊な恩恵を受ける。,風紋の一致 風紋の一致Lv5 イブシマキヒコの力を得て、レベルに応じた特殊な恩恵を受ける。 さらに強運の効果を得る
雷紋の一致,雷紋の一致Lv1,1,シリーズスキル,雷耐性+1,95,950,,ナルハタタヒメの力を得て、レベルに応じた特殊な恩恵を受ける。,雷紋の一致 雷紋の一致Lv1 ナルハタタヒメの力を得て、レベルに応じた特殊な恩恵を受ける。 雷耐性+1
雷紋の一致,雷紋の一致Lv2,2,シリーズスキル,雷耐性+2,95,950,,ナルハタタヒメの力を得て、レベルに応じた特殊な恩恵を受ける。,雷紋の一致 雷紋の一致Lv2 ナルハタタヒメの力を得て、レベルに応じた特殊な恩恵を受ける。 雷耐性+2
雷紋の一致,雷紋の一致Lv3,3,シリーズスキル,雷耐性+3,95,950,,ナルハタタヒメの力を得て、レベルに応じた特殊な恩恵を受ける。,雷紋の一致 雷紋の一致Lv3 ナルハタタヒメの力を得て、レベルに応じた特殊な恩恵を受ける。 雷耐性+3
雷紋の一致,雷紋の一致Lv4,4,シリーズスキル,雷耐性+4,95,950,,ナルハタタヒメの力を得て、レベルに応じた特殊な恩恵を受ける。,雷紋の一致 雷紋の一致Lv4 ナルハタタヒメの力を得て、レベルに応じた特殊な恩恵を受ける。 雷耐性+4
雷紋の一致,雷紋の一致Lv5,5,シリーズスキル,さらに強運の効果を得る,95,950,,ナルハタタヒメの力を得て、レベルに応じた特殊な恩恵を受ける。,雷紋の一致 雷紋の一致Lv5 ナルハタタヒメの力を得て、レベルに応じた特殊な恩恵を受ける。 さらに強運の効果を得る
風雷合一,風雷合一Lv1,1,シリーズスキル,雷と龍の属性攻撃値を１．０５倍にする,200,1100,,雷・龍属性を強化し、特定スキルの効果を高める。,風雷合一 風雷合一Lv1 雷・龍属性を強化し、特定スキルの効果を高める。 雷と龍の属性攻撃値を１．０５倍にする
風雷合一,風雷合一Lv2,2,シリーズスキル,雷と龍の属性攻撃値を１．１倍にする,200,1100,,雷・龍属性を強化し、特定スキルの効果を高める。,風雷合一 風雷合一Lv2 雷・龍属性を強化し、特定スキルの効果を高める。 雷と龍の属性攻撃値を１．１倍にする
風雷合一,風雷合一Lv3,3,シリーズスキル,雷と龍の属性攻撃値を１．１５倍にする,200,1100,,雷・龍属性を強化し、特定スキルの効果を高める。,風雷合一 風雷合一Lv3 雷・龍属性を強化し、特定スキルの効果を高める。 雷と龍の属性攻撃値を１．１５倍にする
風雷合一,風雷合一Lv4,4,シリーズスキル,さらにこのスキル以外の防具のスキルレベルを＋１する,200,1100,,雷・龍属性を強化し、特定スキルの効果を高める。,風雷合一 風雷合一Lv4 雷・龍属性を強化し、特定スキルの効果を高める。 さらにこのスキル以外の防具のスキルレベルを＋１する
風雷合一,風雷合一Lv5,5,シリーズスキル,さらにこのスキル以外の防具のスキルレベルをもう＋１する,200,1100,,雷・龍属性を強化し、特定スキルの効果を高める。,風雷合一 風雷合一Lv5 雷・龍属性を強化し、特定スキルの効果を高める。 さらにこのスキル以外の防具のスキルレベルをもう＋１する
龍気活性,龍気活性Lv1,1,戦闘(攻撃),体力50％以下で特殊な龍やられを発症し、全ての属性耐性が30になる。,210,1110,9,体力が一定以下になると龍属性が活性化し、武器の他属性効果を失う。,龍気活性 龍気活性Lv1 体力が一定以下になると龍属性が活性化し、武器の他属性効果を失う。 体力50％以下で特殊な龍やられを発症し、全ての属性耐性が30になる。
龍気活性,龍気活性Lv2,2,戦闘(攻撃),体力50％以下で特殊な龍やられを発症し、全ての属性耐性が50になる。,210,1110,9,体力が一定以下になると龍属性が活性化し、武器の他属性効果を失う。,龍気活性 龍気活性Lv2 体力が一定以下になると龍属性が活性化し、武器の他属性効果を失う。 体力50％以下で特殊な龍やられを発症し、全ての属性耐性が50になる。
龍気活性,龍気活性Lv3,3,戦闘(攻撃),体力70％以下で特殊な龍やられを発症し、全ての属性耐性が50になる。,210,1110,9,体力が一定以下になると龍属性が活性化し、武器の他属性効果を失う。,龍気活性 龍気活性Lv3 体力が一定以下になると龍属性が活性化し、武器の他属性効果を失う。 体力70％以下で特殊な龍やられを発症し、全ての属性耐性が50になる。
龍気活性,龍気活性Lv4,4,戦闘(攻撃),体力70％以下で特殊な龍やられを発症し全ての属性耐性が50になり、攻撃力1.05倍。,210,1110,9,体力が一定以下になると龍属性が活性化し、武器の他属性効果を失う。,龍気活性 龍気活性Lv4 体力が一定以下になると龍属性が活性化し、武器の他属性効果を失う。 体力70％以下で特殊な龍やられを発症し全ての属性耐性が50になり、攻撃力1.05倍。
龍気活性,龍気活性Lv5,5,戦闘(攻撃),体力80％以下で特殊な龍やられを発症し全ての属性耐性が50になり、攻撃力1.1倍。,210,1110,9,体力が一定以下になると龍属性が活性化し、武器の他属性効果を失う。,龍気活性 龍気活性Lv5 体力が一定以下になると龍属性が活性化し、武器の他属性効果を失う。 体力80％以下で特殊な龍やられを発症し全ての属性耐性が50になり、攻撃力1.1倍。
業鎧【修羅】,業鎧【修羅】Lv1,1,戦闘(攻撃),疾替えの書〖朱〗使用中、攻撃力+15、防御力-50。疾替えの書〖蒼〗使用中、属性値1.05倍、全属性耐性-10,,,9,防御性能を下げる代わりに攻撃性能を高め、効果内容は疾替えの書で変化する。,業鎧【修羅】 業鎧【修羅】Lv1 防御性能を下げる代わりに攻撃性能を高め、効果内容は疾替えの書で変化する。 疾替えの書〖朱〗使用中、攻撃力+15、防御力-50。疾替えの書〖蒼〗使用中、属性値1.05倍、全属性耐性-10
業鎧【修羅】,業鎧【修羅】Lv2,2,戦闘(攻撃),疾替えの書〖朱〗使用中、攻撃力+25、防御力-75。疾替えの書〖蒼〗使用中、属性値1.10倍、全属性耐性-25,,,9,防御性能を下げる代わりに攻撃性能を高め、効果内容は疾替えの書で変化する。,業鎧【修羅】 業鎧【修羅】Lv2 防御性能を下げる代わりに攻撃性能を高め、効果内容は疾替えの書で変化する。 疾替えの書〖朱〗使用中、攻撃力+25、防御力-75。疾替えの書〖蒼〗使用中、属性値1.10倍、全属性耐性-25
業鎧【修羅】,業鎧【修羅】Lv3,3,戦闘(攻撃),疾替えの書〖朱〗使用中、攻撃力+35、防御力-100。疾替えの書〖蒼〗使用中、属性値1.20倍、全属性耐性-50,,,9,防御性能を下げる代わりに攻撃性能を高め、効果内容は疾替えの書で変化する。,業鎧【修羅】 業鎧【修羅】Lv3 防御性能を下げる代わりに攻撃性能を高め、効果内容は疾替えの書で変化する。 疾替えの書〖朱〗使用中、攻撃力+35、防御力-100。疾替えの書〖蒼〗使用中、属性値1.20倍、全属性耐性-50
伏魔響命,伏魔響命Lv1,1,戦闘(攻撃),疾替えの書〖朱〗使用中、属性値、状態異常蓄積値が上昇。疾替えの書〖蒼〗使用中、攻撃力、気絶威力が上昇,,,,キュリアに体力を奪われ続ける代わりに攻撃性能を高め、キュリア増加でさらに強化し、疾替えで回復する。,伏魔響命 伏魔響命Lv1 キュリアに体力を奪われ続ける代わりに攻撃性能を高め、キュリア増加でさらに強化し、疾替えで回復する。 疾替えの書〖朱〗使用中、属性値、状態異常蓄積値が上昇。疾替えの書〖蒼〗使用中、攻撃力、気絶威力が上昇
伏魔響命,伏魔響命Lv2,2,戦闘(攻撃),疾替えの書ごとの攻撃性能が上昇,,,,キュリアに体力を奪われ続ける代わりに攻撃性能を高め、キュリア増加でさらに強化し、疾替えで回復する。,伏魔響命 伏魔響命Lv2 キュリアに体力を奪われ続ける代わりに攻撃性能を高め、キュリア増加でさらに強化し、疾替えで回復する。 疾替えの書ごとの攻撃性能が上昇
伏魔響命,伏魔響命Lv3,3,戦闘(攻撃),疾替えの書ごとの攻撃性能がさらに上昇,,,,キュリアに体力を奪われ続ける代わりに攻撃性能を高め、キュリア増加でさらに強化し、疾替えで回復する。,伏魔響命 伏魔響命Lv3 キュリアに体力を奪われ続ける代わりに攻撃性能を高め、キュリア増加でさらに強化し、疾替えで回復する。 疾替えの書ごとの攻撃性能がさらに上昇
奮闘,奮闘Lv1,1,戦闘(攻撃),赤ゲージの長さに応じて、属性値1.05倍〜1.10倍、会心率+5%〜+10%。,,,9,赤ゲージが長いほど会心率と属性攻撃力を高める。,奮闘 奮闘Lv1 赤ゲージが長いほど会心率と属性攻撃力を高める。 赤ゲージの長さに応じて、属性値1.05倍〜1.10倍、会心率+5%〜+10%。
奮闘,奮闘Lv2,2,戦闘(攻撃),赤ゲージの長さに応じて、属性値1.10倍〜1.15倍、会心率+10%〜+15%。,,,9,赤ゲージが長いほど会心率と属性攻撃力を高める。,奮闘 奮闘Lv2 赤ゲージが長いほど会心率と属性攻撃力を高める。 赤ゲージの長さに応じて、属性値1.10倍〜1.15倍、会心率+10%〜+15%。
奮闘,奮闘Lv3,3,戦闘(攻撃),赤ゲージの長さに応じて、属性値1.15倍〜1.20倍、会心率+10%〜+20%。最大時はスタミナ消費無効。,,,9,赤ゲージが長いほど会心率と属性攻撃力を高める。,奮闘 奮闘Lv3 赤ゲージが長いほど会心率と属性攻撃力を高める。 赤ゲージの長さに応じて、属性値1.15倍〜1.20倍、会心率+10%〜+20%。最大時はスタミナ消費無効。
狂化,狂化Lv1,1,戦闘(攻撃),疾替えの書〖蒼〗使用中、体力がすべて赤ゲージになり、徐々に減少する。赤ゲージが残っている限り攻撃で力尽きない。,,,,蒼の書で体力が赤ゲージ化して徐々に減少する代わりに、赤ゲージが残る限りダメージで力尽きなくなる。,狂化 狂化Lv1 蒼の書で体力が赤ゲージ化して徐々に減少する代わりに、赤ゲージが残る限りダメージで力尽きなくなる。 疾替えの書〖蒼〗使用中、体力がすべて赤ゲージになり、徐々に減少する。赤ゲージが残っている限り攻撃で力尽きない。
狂化,狂化Lv2,2,戦闘(攻撃),疾替えの書〖蒼〗使用中、赤ゲージの減少速度が遅くなる。,,,,蒼の書で体力が赤ゲージ化して徐々に減少する代わりに、赤ゲージが残る限りダメージで力尽きなくなる。,狂化 狂化Lv2 蒼の書で体力が赤ゲージ化して徐々に減少する代わりに、赤ゲージが残る限りダメージで力尽きなくなる。 疾替えの書〖蒼〗使用中、赤ゲージの減少速度が遅くなる。
風纏,風纏Lv1,1,戦闘(攻撃),鉄蟲糸技使用時、15秒間風を纏い、翔蟲ゲージの回復速度が上昇。攻撃を当て続けると効果が持続し上昇量が増加。納刀で解除。,,,9,鉄蟲糸技の使用で風を纏い、翔蟲ゲージ回復を速める。攻撃を続けると効果が強まり、納刀で解除される。,風纏 風纏Lv1 鉄蟲糸技の使用で風を纏い、翔蟲ゲージ回復を速める。攻撃を続けると効果が強まり、納刀で解除される。 鉄蟲糸技使用時、15秒間風を纏い、翔蟲ゲージの回復速度が上昇。攻撃を当て続けると効果が持続し上昇量が増加。納刀で解除。
風纏,風纏Lv2,2,戦闘(攻撃),翔蟲ゲージの回復速度の上昇量が増加。,,,9,鉄蟲糸技の使用で風を纏い、翔蟲ゲージ回復を速める。攻撃を続けると効果が強まり、納刀で解除される。,風纏 風纏Lv2 鉄蟲糸技の使用で風を纏い、翔蟲ゲージ回復を速める。攻撃を続けると効果が強まり、納刀で解除される。 翔蟲ゲージの回復速度の上昇量が増加。
